2016, CR_Top16_V
Total number of events with 1 th systematic source : 3036.55 -nan, -nan
Total number of events with 2 th systematic source : 3036.55 -nan, -nan
Total number of events with 3 th systematic source : 3036.55 -nan, -nan
Total number of events with 4 th systematic source : 3036.55 -nan, -nan
Total number of events with 5 th systematic source : 3036.55 -nan, -nan
Total number of events with 6 th systematic source : 3036.55 -nan, -nan
Total number of events with 7 th systematic source : 3036.55 -nan, -nan
Total number of events with 8 th systematic source : 3036.55 -nan, -nan
Total number of events with 9 th systematic source : 3036.55 +177.997, +177.997
Total number of events with 10 th systematic source : 3036.55 +177.997, +177.997
Total number of events with 11 th systematic source : 3036.55 +186.525, -nan
Total number of events with 12 th systematic source : 3036.55 +177.997, +177.997
Total number of events with 13 th systematic source : 3036.55 +177.997, -nan
Total number of events with 14 th systematic source : 3036.55 -nan, -nan
Total number of events with 15 th systematic source : 3036.55 -nan, -nan
Total number of events with 16 th systematic source : 3036.55 -nan, -nan
Total number of events with 17 th systematic source : 3036.55 -nan, -nan
Total number of events with 18 th systematic source : 3036.55 -nan, -nan
Total number of events with 19 th systematic source : 3036.55 -nan, -nan
Total number of events with 20 th systematic source : 3036.55 -nan, -nan
Total number of events with 21 th systematic source : 3036.55 -nan, -nan
Total number of events with 22 th systematic source : 3036.55 -nan, -nan
Total number of events with 23 th systematic source : 3036.55 -nan, -nan
Total number of events with 24 th systematic source : 3036.55 -nan, -nan
Total number of events with 25 th systematic source : 3036.55 -nan, -nan
Total number of events with 26 th systematic source : 3036.55 -nan, -nan
Total number of events with 27 th systematic source : 3036.55 -nan, -nan
Total number of events with 28 th systematic source : 3036.55 -nan, -nan
Total number of events with 29 th systematic source : 3036.55 -nan, -nan
Total number of events with 30 th systematic source : 3036.55 -nan, -nan
Total number of events with 31 th systematic source : 3036.55 -nan, -nan
Total number of events with 32 th systematic source : 3036.55 -nan, -nan
Total number of events with 33 th systematic source : 3036.55 -nan, -nan
Total number of events with 34 th systematic source : 3036.55 -nan, -nan
Total number of events with 35 th systematic source : 3036.55 -nan, -nan
Total number of events with 36 th systematic source : 3036.55 -nan, -nan
Total number of events with 37 th systematic source : 3036.55 -nan, -nan
Total number of events with 38 th systematic source : 3036.55 -nan, -nan
Total number of events with 39 th systematic source : 3036.55 -nan, -nan
Total number of events with 40 th systematic source : 3036.55 -nan, -nan
Total number of events with 41 th systematic source : 3036.55 -nan, -nan
Total number of events with 42 th systematic source : 3036.55 -nan, -nan
Total number of events with 43 th systematic source : 3036.55 -nan, -nan
Total number of events with 44 th systematic source : 3036.55 -nan, -nan
Total number of events with 45 th systematic source : 3036.55 -nan, -nan
Total number of events with 46 th systematic source : 3036.55 -nan, -nan
Total number of events with 47 th systematic source : 3036.55 -nan, -nan
Total number of events with 48 th systematic source : 3036.55 -nan, -nan
Total number of events with 49 th systematic source : 3036.55 -nan, -nan
Total number of events with 50 th systematic source : 3036.55 -nan, -nan
Total number of events with 51 th systematic source : 3036.55 -nan, -nan
Total number of events with 52 th systematic source : 3036.55 -nan, -nan
Total number of events with 53 th systematic source : 3036.55 -nan, -nan
Total number of events with 54 th systematic source : 3036.55 -nan, -nan
